source_word,target_word,source_pos,target_pos,morpheme,type,segments
list,listen,N,N,en,suffix,"('list', '#en')"
Angola,Angolan,N,N,an,suffix,"('Angola', '#an')"
gram,decigram,J,N,deci,prefix,"('deci#', 'gram')"
gram,centigram,N,N,centi,prefix,"('centi#', 'gram')"
krkavý,krkavec,J,N,ec,suffix,"('krk', '#avý', '#ec')"
gram,kilogram,J,N,kilo,prefix,"('kilo#', 'gram')"
ponořit,ponorka,V,N,ka,suffix,"('po#', 'nořit', '#ka')"
číslo,prvočíslo,N,N,prvo,prefix,"('prvo#', 'číslo')"
hrdý,hrdina,J,N,ina,suffix,"('hrdý', '#ina')"
zmrzlý,zmrzlina,J,N,ina,suffix,"('zmrzl', '#ý', '#ina')"
Egypt,Egypťan,N,N,an,suffix,"('Egypt', '#an')"
blahý,blaze,J,R,e,suffix,"('blahý', '#e')"
koupit,kupec,V,N,ec,suffix,"('koupit', '#ec')"
kyselý,kyselina,J,N,ina,suffix,"('kyselo', '#ý', '#ina')"
kyslík,kysličník,N,N,ník,suffix,"('kyselo', '#ý', '#ík', '#ník')"
kyselý,kyslík,J,N,ík,suffix,"('kyselo', '#ý', '#ík')"
domorodý,domorodec,J,N,ec,suffix,"('domorodý', '#ec')"
Slovensko,Slovák,N,N,ák,suffix,"('Slovensko', '#ák')"
opilý,opilec,J,N,ec,suffix,"('o#', 'pít', '#lý', '#ec')"
zelený,zelenina,J,N,ina,suffix,"('zelený', '#ina')"
voda,vodík,N,N,ík,suffix,"('voda', '#ík')"
Ir,Irsko,N,N,sko,suffix,"('Ir', '#sko')"
chobot,chobotnice,N,N,nice,suffix,"('chobot', '#nice')"
Řek,Řecko,N,N,cko,suffix,"('Řek', '#cko')"
Němec,Německo,N,N,cko,suffix,"('Němec', '#cko')"
byte,gigabyte,N,N,giga,prefix,"('giga#', 'byte')"
hertz,megahertz,N,N,mega,prefix,"('mega#', 'hertz')"
pátý,pátek,J,N,ek,suffix,"('pátý', '#ek')"
bit,kilobit,N,N,kilo,prefix,"('kilo#', 'bit')"
byte,kilobyte,N,N,kilo,prefix,"('kilo#', 'byte')"
byte,megabyte,N,N,mega,prefix,"('mega#', 'byte')"
Polák,Polka,N,N,ka,suffix,"('Polsko', '#ák', '#ka')"
Čech,Češka,N,N,ka,suffix,"('Čech', '#ka')"
slovo,slovník,N,N,ník,suffix,"('slovo', '#ník')"
joule,gigajoule,N,N,giga,prefix,"('giga#', 'joule')"
potřeba,potřebovat,N,V,ovat,suffix,"('po#', 'třeba', '#ovat')"
jít,přijít,V,V,při,prefix,"('při#', 'jít')"
byte,terabyte,N,N,tera,prefix,"('tera#', 'byte')"
ložit,položit,V,V,po,prefix,"('po#', 'ložit')"
led,leden,N,N,en,suffix,"('led', '#en')"
dub,duben,N,N,en,suffix,"('dub', '#en')"
říje,říjen,N,N,en,suffix,"('říje', '#en')"
nemoc,nemocnice,N,N,nice,suffix,"('ne#', 'moc', '#nice')"
pata,patka,N,N,ka,suffix,"('pata', '#ka')"
Apač,apačština,N,N,ština,suffix,"('Apač', '#ština')"
tučný,tučňák,J,N,ák,suffix,"('tuk', '#ný', '#ák')"
nedbalý,nedbalost,J,N,ost,suffix,"('ne#', 'dbalý', '#ost')"
vidle,vidlička,N,N,ička,suffix,"('vidle', '#ička')"
byte,petabyte,N,N,peta,prefix,"('peta#', 'byte')"
hák,háček,N,N,ek,suffix,"('hák', '#ek')"
bratr,brach,N,N,ch,suffix,"('bratr', '#ch')"
Anglie,angličtina,N,N,čtina,suffix,"('Anglie', '#čtina')"
milý,milovat,J,V,ovat,suffix,"('milý', '#ovat')"
kotel,kotlina,N,N,ina,suffix,"('kotel', '#ina')"
